pais_codigo,pais,ano,valor
DEU,Germany,1977,3.34721808033223
DEU,Germany,1976,4.94925843456397
FRA,France,2025,0.840949955479587
FRA,France,2024,1.19046798275883
FRA,France,2023,1.43921494437743
FRA,France,2022,2.71676264185913
FRA,France,2021,6.88233783360239
FRA,France,2020,-7.44064589948231
FRA,France,2019,2.02744646419237
FRA,France,2018,1.64590872395887
FRA,France,2017,2.08361485997399
FRA,France,2016,0.860031075424033
FRA,France,2015,1.06675474783462
FRA,France,2014,0.997832947295251
FRA,France,2013,0.781756446231
FRA,France,2012,0.183835264973013
FRA,France,2011,2.43757653729007
FRA,France,2010,2.00032476039051
FRA,France,2009,-2.82455153714783
FRA,France,2008,0.380171435849121
FRA,France,2007,2.53048188351066
FRA,France,2006,2.71406448755236
FRA,France,2005,1.88856584109286
FRA,France,2004,2.86825052501032
FRA,France,2003,0.967827182558352
FRA,France,2002,1.06775027069419
FRA,France,2001,1.89946701186636
FRA,France,2000,4.14099996402915
FRA,France,1999,3.39930808809441
FRA,France,1998,3.45259434279616
FRA,France,1997,2.5270616339357
FRA,France,1996,1.39707987198881
FRA,France,1995,2.30479278392259
FRA,France,1994,2.38366086110145
FRA,France,1993,-0.35899781051468
FRA,France,1992,1.5160611169627
FRA,France,1991,1.23666248297356
FRA,France,1990,2.82962715326478
FRA,France,1989,4.40516927190527
FRA,France,1988,4.81422400170246
FRA,France,1987,2.55274621143047
FRA,France,1986,2.38953554470334
FRA,France,1985,1.56907436604108
FRA,France,1984,1.60947146551595
FRA,France,1983,1.26205761797051
FRA,France,1982,2.44251268690125
FRA,France,1981,1.18831474293866
FRA,France,1980,1.67641337198611
FRA,France,1979,3.69531078677157
FRA,France,1978,3.94936216342872
FRA,France,1977,3.55415568976466
FRA,France,1976,4.33755647481964
GBR,United Kingdom,2025,1.38844207858726
GBR,United Kingdom,2024,1.08027716858781
GBR,United Kingdom,2023,0.271650048355255
GBR,United Kingdom,2022,5.14970388522993
GBR,United Kingdom,2021,8.5431118453255
GBR,United Kingdom,2020,-10.047896637362
GBR,United Kingdom,2019,1.25629899760824
GBR,United Kingdom,2018,1.55133095078786
GBR,United Kingdom,2017,3.02322219840339
GBR,United Kingdom,2016,2.20652020635357
GBR,United Kingdom,2015,2.14040560033371
GBR,United Kingdom,2014,3.16017351468152
GBR,United Kingdom,2013,1.71846961308464
GBR,United Kingdom,2012,1.52826034721852
GBR,United Kingdom,2011,0.851437739020326
GBR,United Kingdom,2010,2.26054460931586
GBR,United Kingdom,2009,-4.58740819226323
GBR,United Kingdom,2008,-0.0494116727402769
GBR,United Kingdom,2007,2.93091133582351
GBR,United Kingdom,2006,2.18982132415704
GBR,United Kingdom,2005,2.7906547174688
GBR,United Kingdom,2004,2.32601853325993
GBR,United Kingdom,2003,3.21851612669614
GBR,United Kingdom,2002,1.70902736258567
GBR,United Kingdom,2001,2.39102229602824
GBR,United Kingdom,2000,4.52438074810904
GBR,United Kingdom,1999,2.94445869854798
GBR,United Kingdom,1998,3.24631482881618
GBR,United Kingdom,1997,4.8799853038024
GBR,United Kingdom,1996,2.61491606949487
GBR,United Kingdom,1995,3.53339096338078
GBR,United Kingdom,1994,4.95341092800692
GBR,United Kingdom,1993,3.49048744653493
GBR,United Kingdom,1992,1.29472849604493
GBR,United Kingdom,1991,-1.29243974751705
GBR,United Kingdom,1990,0.779266119883417
GBR,United Kingdom,1989,2.28144671930745
GBR,United Kingdom,1988,5.0321018040183
GBR,United Kingdom,1987,4.56208082572655
GBR,United Kingdom,1986,4.01232987098167
GBR,United Kingdom,1985,3.59938143817158
GBR,United Kingdom,1984,2.67092491032817
GBR,United Kingdom,1983,3.62434641923983
GBR,United Kingdom,1982,2.09306886432368
GBR,United Kingdom,1981,-1.3234581733779
GBR,United Kingdom,1980,-2.17910220206564
GBR,United Kingdom,1979,2.74677219709527
GBR,United Kingdom,1978,3.40337382855367
GBR,United Kingdom,1977,2.36335094409922
GBR,United Kingdom,1976,2.80465599545295
IND,India,2025,7.56666179284244
IND,India,2024,7.09927893176518
IND,India,2023,7.210224629335
IND,India,2022,7.6093649776932
IND,India,2021,9.68959249191741
IND,India,2020,-5.77772470687303
