pais_codigo,pais,ano,pib,crescimento,pib_per_capita,pib_anterior,variacao_pib,log_pib
BRA,Brazil,1976,153168949208.207,10.2571295347867,1389.74952306555,,,25.75480739230168
BRA,Brazil,1977,176344101401.941,4.93432806978961,1562.29143045708,153168949208.207,0.15130450599508483,25.895703044823765
BRA,Brazil,1978,200278646123.581,4.96989768924738,1732.50012204556,176344101401.941,0.1357263698153759,26.0229754644671
BRA,Brazil,1979,221338204480.222,6.7595601220408,1869.7133759549,200278646123.581,0.1051512917839792,26.122957705706334
BRA,Brazil,1980,237393489892.637,9.19999999999976,1958.57159232662,221338204480.222,0.07253734370041687,26.19298489622128
BRA,Brazil,1981,258015174748.648,-4.24999999999956,2079.70908377484,237393489892.637,0.08686710349697169,26.27628423699361
BRA,Brazil,1982,271314113768.417,0.829999999999529,2137.6250359394,258015174748.648,0.051543243658922266,26.32654307799468
BRA,Brazil,1983,189656506321.431,-2.92999999999996,1461.25582714178,271314113768.417,-0.30097073208910063,25.968480411486947
BRA,Brazil,1984,188339974086.58,5.39999999999988,1419.73154606978,189656506321.431,-0.006941666597083396,25.961514539439808
BRA,Brazil,1985,210879844638.877,7.85000000000042,1556.1297180511,188339974086.58,0.1196765087263707,26.07455435153265
BRA,Brazil,1986,256480852471.129,7.48999999999982,1854.03775211919,210879844638.877,0.21624166079191598,26.27031984953548
BRA,Brazil,1987,283056836893.838,3.52999999999983,2006.00226235757,256480852471.129,0.10361781071240217,26.368913551505283
BRA,Brazil,1988,307881930752.268,-0.059999999999917,2140.65027561164,283056836893.838,0.08770356558368797,26.452982204712352
BRA,Brazil,1989,412990820287.42,3.16000000000032,2818.99277980122,307881930752.268,0.341393498729635,26.74669120275345
BRA,Brazil,1990,384959818181.817,-4.35000000000022,2581.14187449078,412990820287.42,-0.0678731844114473,26.67640479742852
BRA,Brazil,1991,342534090909.091,1.03218958549303,2257.6092968885,384959818181.817,-0.11020819646347679,26.55963702519636
BRA,Brazil,1992,328191909882.232,-0.54407204977727,2127.31642731638,342534090909.091,-0.04187081346792265,26.516864365335856
