pais_codigo,pais,ano_inicial,ano_final,pib_inicial_usd,pib_final_usd,crescimento_total_pct,cagr_pct,media_crescimento_anual_pct,volatilidade_crescimento_pct,maior_pib_usd,ano_maior_pib,pib_per_capita_final_usd,ranking_pib_final,ranking_cagr
USA,United States,1976,2025,1873412000000.0,30769700000000.0,1542.4417052949377,5.878045981286717,2.796752071414519,1.9269284606381674,30769700000000.0,2025,90026.5163005744,1,4
CHN,China,1976,2025,154196810058.643,19498039388042.6,12544.904509131706,10.381485842563421,8.652427448811821,3.3189204474942526,19498039388042.6,2025,13861.970224368,2,1
DEU,Germany,1976,2025,521658712132.981,5050922925047.05,868.242800814083,4.74230528185462,1.714616528391396,2.068275812275891,5050922925047.05,2025,60496.4350820414,3,6
JPN,Japan,1976,2025,611495350303.909,4435162999976.94,625.2979107318959,4.126569293243354,1.940061782793332,2.430977591751021,6333803928787.76,2012,35951.0449549304,4,8
GBR,United Kingdom,1976,2025,232614555256.065,4002587541846.01,1620.6952236672857,5.978665869887734,2.1132255458701286,2.704011274830668,4002587541846.01,2025,57601.9621201954,5,3
IND,India,1976,2025,102716451979.68,3956067115771.63,3751.4444760555434,7.735707036952211,5.731708164194573,3.0101733550365815,3956067115771.63,2025,2702.47987141553,6,2
FRA,France,1976,2025,368363152144.223,3366315927447.33,813.8579436765534,4.61880841690363,1.90961902543159,2.021451229514215,3366315927447.33,2025,48985.7307807924,7,7
BRA,Brazil,1976,2025,153168949208.207,2279920092492.13,1388.5001851079937,5.66560667788103,2.7302420434853776,3.382970240813186,2616156223917.69,2011,10713.2856869511,8,5
